
R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1
R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1
R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1
R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1
R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1
R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1
R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1
R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1
R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1
R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1,A-1,A-2,A-3,R-1
R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1,A-4,A-5,A-6,R-1
R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1,A-7,A-8,A-9,R-1
R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
